url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_a322a005d41402d415ee4d060a1f4f5a,,
주제,통검,,
범위,합계,,
기간,일간 : 2019-12-12 ~ 2020-12-12,,
성별,"전체(여성,남성)",,
연령대,"25~29, 30~34, 35~39",,
날짜,캠핑,날짜,텐트
2020-10-22,28.0755,2020-10-22,25.52798
2020-10-23,27.21752,2020-10-23,22.63727
2020-10-24,25.81837,2020-10-24,29.92344
2020-10-25,32.20696,2020-10-25,47.10929
2020-10-26,33.31573,2020-10-26,35.04487
2020-10-27,29.15786,2020-10-27,28.41869
2020-10-28,27.53431,2020-10-28,23.20485
2020-10-29,24.9736,2020-10-29,21.35691
2020-10-30,22.20168,2020-10-30,17.63463
2020-10-31,22.16209,2020-10-31,23.60084
2020-11-01,28.85427,2020-11-01,35.12407
2020-11-02,27.8247,2020-11-02,28.82787
2020-11-03,24.15522,2020-11-03,21.7001
2020-11-04,21.19852,2020-11-04,18.03062
2020-11-05,19.91816,2020-11-05,17.62143
2020-11-06,19.60137,2020-11-06,15.68109
2020-11-07,19.69376,2020-11-07,20.93453
2020-11-08,25.13199,2020-11-08,30.60982
2020-11-09,22.41288,2020-11-09,25.50158
2020-11-10,20.73653,2020-11-10,21.06652
2020-11-11,18.40021,2020-11-11,16.57866
2020-11-12,18.34741,2020-11-12,16.52587
2020-11-13,18.6378,2020-11-13,14.11034
2020-11-14,19.48257,2020-11-14,18.79619
2020-11-15,22.47888,2020-11-15,27.50791
2020-11-16,22.50527,2020-11-16,21.51531
2020-11-17,22.16209,2020-11-17,19.06019
2020-11-18,18.09662,2020-11-18,17.88542
2020-11-19,18.84899,2020-11-19,14.94192
2020-11-20,17.60823,2020-11-20,13.92555
2020-11-21,18.17581,2020-11-21,18.14941
2020-11-22,20.22175,2020-11-22,24.63041
2020-11-23,20.31414,2020-11-23,19.87856
2020-11-24,17.75343,2020-11-24,17.38384
2020-11-25,16.40707,2020-11-25,15.3511
2020-11-26,16.40707,2020-11-26,15.68109
2020-11-27,17.41024,2020-11-27,15.3247
2020-11-28,17.60823,2020-11-28,18.4794
2020-11-29,22.29408,2020-11-29,25.30359
2020-11-30,20.98732,2020-11-30,21.25131
2020-12-01,18.87539,2020-12-01,17.37064
2020-12-02,16.51267,2020-12-02,14.96832
2020-12-03,16.98785,2020-12-03,14.46673
2020-12-04,17.09345,2020-12-04,13.43717
2020-12-05,19.11298,2020-12-05,17.88542
2020-12-06,23.65364,2020-12-06,25.43558
2020-12-07,22.50527,2020-12-07,22.04329
2020-12-08,19.31098,2020-12-08,16.63146
2020-12-09,18.82259,2020-12-09,15.27191
2020-12-10,17.84582,2020-12-10,15.87909
2020-12-11,18.88859,2020-12-11,13.72756
2020-12-12,18.12302,2020-12-12,17.56863
